,TNFSF10
scperb_Pval,0.028469202256999976
scgen_Pval,0.2853899121282784
CVAE_Pval,5.457841407291214e-19
STGAN_Pval,1.9121882695447934e-101
sc-WGAN_Pval,3.516731236329456e-65
