,TNFSF10
scperb_Pval,0.1473846789191637
scgen_Pval,5.959890145487812e-06
CVAE_Pval,5.917595480432932e-20
STGAN_Pval,6.6961601121268606e-108
sc-WGAN_Pval,0.0012928051003487622
