,IFIT2
scperb_Pval,0.07428659288757256
scgen_Pval,0.0033282895440660426
CVAE_Pval,1.6346013408443726e-09
STGAN_Pval,3.1373860417995516e-103
sc-WGAN_Pval,2.408304548632902e-10
