,IFIT2
scperb_Pval,1.0066404100328613e-05
scgen_Pval,0.07109821957650571
CVAE_Pval,4.336508315328067e-22
STGAN_Pval,2.8638566812312933e-28
sc-WGAN_Pval,4.6160076409215e-60
