,FTL
scperb_Pval,0.1763157780425482
scgen_Pval,6.298732259117359e-15
CVAE_Pval,0.03075879027395538
STGAN_Pval,4.805419611369007e-109
sc-WGAN_Pval,2.0132524562653923e-31
