,IFIT3
scperb_Pval,0.01903555730998724
scgen_Pval,3.4731383217243385e-08
CVAE_Pval,1.3211638464618122e-46
STGAN_Pval,3.974329896788772e-55
sc-WGAN_Pval,3.131496678480865e-17
