,ISG15
scperb_Pval,0.00040603701807754504
scgen_Pval,1.0074139768898976e-12
CVAE_Pval,1.731758662710652e-39
STGAN_Pval,1.6929755750166473e-88
sc-WGAN_Pval,1.4718590581228312e-95
