name,our_pv,scgen_pv,diff
C17orf70,1.05E-99,4.05E-44,-4.05E-44
C15orf41,2.90E-70,4.05E-44,-4.05E-44
CTC-459F4.3,5.17E-65,4.05E-44,-4.05E-44
ORMDL1,8.81E-43,9.48E-43,-6.63E-44
ASF1A,8.81E-43,9.53E-43,-7.18E-44
TMEM115,2.85E-95,7.60E-44,-7.60E-44
COX16,8.81E-43,9.58E-43,-7.69E-44
OAS3,8.81E-43,9.58E-43,-7.69E-44
APEX1,8.81E-43,9.58E-43,-7.69E-44
CNPY2,8.81E-43,9.58E-43,-7.69E-44
FKBPL,3.50E-52,8.68E-44,-8.68E-44
PLEKHA5,7.48E-93,8.68E-44,-8.68E-44
SYNJ2,3.32E-86,8.68E-44,-8.68E-44
LMNA,3.01E-78,9.40E-44,-9.40E-44
RP11-259N19.1,1.48E-42,1.60E-42,-1.27E-43
GTF2H2,2.58E-96,1.55E-43,-1.55E-43
PPAPDC2,2.19E-99,1.65E-43,-1.65E-43
CYC1,3.02E-44,1.96E-43,-1.65E-43
LMLN,6.96E-96,1.87E-43,-1.87E-43
STRAP,4.66E-42,4.92E-42,-2.57E-43
PIM2,4.66E-42,4.97E-42,-3.16E-43
IMPDH2,2.97E-47,3.18E-43,-3.18E-43
TOB2,2.39E-97,3.18E-43,-3.18E-43
MMADHC,4.66E-42,5.03E-42,-3.74E-43
SNRPB2,4.66E-42,5.03E-42,-3.74E-43
TMED10,4.66E-42,5.06E-42,-4.01E-43
MED4,4.66E-42,5.06E-42,-4.01E-43
NDUFA6,4.66E-42,5.06E-42,-4.01E-43
COMTD1,2.85E-95,6.29E-43,-6.29E-43
NEURL2,2.96E-101,7.45E-43,-7.45E-43
IFNG,1.32E-83,7.45E-43,-7.45E-43
RP11-138P22.1,2.51E-72,7.45E-43,-7.45E-43
BHLHE40,2.15E-83,8.40E-43,-8.40E-43
DNPH1,1.64E-43,1.04E-42,-8.78E-43
NVL,2.58E-96,1.28E-42,-1.28E-42
MFHAS1,7.67E-79,1.28E-42,-1.28E-42
ANGEL1,7.75E-47,1.60E-42,-1.60E-42
CHMP4C,4.63E-102,1.60E-42,-1.60E-42
RP11-421M1.8,4.63E-102,1.60E-42,-1.60E-42
RP11-890B15.3,2.33E-100,1.60E-42,-1.60E-42
SEMA4B,1.55E-86,1.60E-42,-1.60E-42
SNRPD1,2.42E-41,2.62E-41,-1.99E-42
SF3B2,2.43E-41,2.63E-41,-2.01E-42
ABRACL,2.43E-41,2.63E-41,-2.01E-42
CLNS1A,2.43E-41,2.63E-41,-2.01E-42
ZNF367,2.33E-100,2.92E-42,-2.92E-42
BCL2A1,2.33E-100,2.92E-42,-2.92E-42
RP11-383C5.4,1.05E-99,2.92E-42,-2.92E-42
SF1,8.81E-43,5.40E-42,-4.52E-42
PSMC5,8.81E-43,5.46E-42,-4.58E-42
DYNLT3,8.81E-43,5.46E-42,-4.58E-42
PTMS,4.19E-65,5.43E-42,-5.43E-42
DRAM1,2.96E-101,6.23E-42,-6.23E-42
C10orf95,1.05E-99,7.23E-42,-7.23E-42
GTF2A2,1.25E-40,1.34E-40,-9.44E-42
SOCS3,6.32E-40,6.41E-40,-9.56E-42
MRPS7,1.25E-40,1.35E-40,-1.02E-41
RBM3,1.25E-40,1.35E-40,-1.02E-41
NDUFB5,1.25E-40,1.35E-40,-1.02E-41
LIPT2,2.19E-99,1.14E-41,-1.14E-41
TPRG1,1.09E-81,1.14E-41,-1.14E-41
FAM76B,8.73E-80,1.14E-41,-1.14E-41
C9orf116,1.70E-55,1.34E-41,-1.34E-41
CCR3,4.63E-102,1.34E-41,-1.34E-41
AC009501.4,4.63E-102,1.34E-41,-1.34E-41
TEX10,5.53E-101,1.34E-41,-1.34E-41
AC012360.4,5.53E-101,1.34E-41,-1.34E-41
ZNF696,3.24E-97,1.34E-41,-1.34E-41
BTNL9,6.96E-96,1.34E-41,-1.34E-41
